group,attack,victim,candidate_count,permutation,target_position,setup_time_ms,attack_time_ms,requests_sent,biometric_evaluations,blocked_requests,target_identified,false_accept,signature_issued,attempts_per_second
G3,candidate_scan,Al_Sharpton,100,2,99,145.69000000,13.71000000,4,3,1,0,0,0,291.86000000
G0,candidate_scan,Al_Sharpton,100,3,55,0.06000000,0.47000000,100,100,0,1,0,0,212692.90000000
G1,candidate_scan,Al_Sharpton,100,3,55,1.81000000,217.57000000,56,56,0,1,0,1,257.39000000
G2,candidate_scan,Al_Sharpton,100,3,55,146.15000000,345.47000000,56,56,0,1,0,1,162.10000000
G3,candidate_scan,Al_Sharpton,100,3,55,147.11000000,14.75000000,4,3,1,0,0,0,271.20000000
G0,candidate_scan,Al_Sharpton,100,4,23,0.07000000,0.42000000,100,100,0,1,0,0,239127.94000000
G1,candidate_scan,Al_Sharpton,100,4,23,1.74000000,94.74000000,24,24,0,1,0,1,253.32000000
G2,candidate_scan,Al_Sharpton,100,4,23,147.12000000,200.77000000,24,24,0,1,0,1,119.54000000
G3,candidate_scan,Al_Sharpton,100,4,23,146.31000000,14.75000000,4,3,1,0,0,0,271.19000000
G0,candidate_scan,Albert_Costa,10,0,5,0.06000000,0.07000000,10,10,0,1,0,0,145635.56000000
G1,candidate_scan,Albert_Costa,10,0,5,1.77000000,22.93000000,6,6,0,1,0,1,261.71000000
G2,candidate_scan,Albert_Costa,10,0,5,145.16000000,128.19000000,6,6,0,1,0,1,46.80000000
G3,candidate_scan,Albert_Costa,10,0,5,143.69000000,14.39000000,4,3,1,0,0,0,277.95000000
G0,candidate_scan,Albert_Costa,10,1,6,0.06000000,0.07000000,10,10,0,1,0,0,148208.62000000
G1,candidate_scan,Albert_Costa,10,1,6,1.77000000,26.97000000,7,7,0,1,0,1,259.55000000
G2,candidate_scan,Albert_Costa,10,1,6,143.10000000,130.72000000,7,7,0,1,0,1,53.55000000
G3,candidate_scan,Albert_Costa,10,1,6,145.35000000,14.67000000,4,3,1,0,0,0,272.70000000
