person,noise_type,intensity,ok,similarity,extract_failed
Alejandro_Toledo,occlusion,0.15000000,0,nan,1
Alejandro_Toledo,occlusion,0.20000000,0,nan,1
Alejandro_Toledo,occlusion,0.25000000,0,nan,1
Alejandro_Toledo,occlusion,0.30000000,0,nan,1
Ali_Naimi,gaussian,0.00000000,1,1.00000000,0
Ali_Naimi,gaussian,0.02000000,1,0.99054205,0
Ali_Naimi,gaussian,0.05000000,1,0.95362687,0
Ali_Naimi,gaussian,0.10000000,1,0.81926852,0
Ali_Naimi,gaussian,0.20000000,0,nan,1
Ali_Naimi,gaussian,0.30000000,0,nan,1
Ali_Naimi,brightness,1.00000000,1,1.00000000,0
Ali_Naimi,brightness,0.90000000,1,0.99940020,0
Ali_Naimi,brightness,0.80000000,1,0.99807382,0
Ali_Naimi,brightness,0.65000000,1,0.99482679,0
Ali_Naimi,brightness,0.50000000,1,0.98817492,0
Ali_Naimi,brightness,0.35000000,1,0.97903287,0
Ali_Naimi,rotation,0.00000000,1,1.00000000,0
Ali_Naimi,rotation,3.00000000,1,0.99610925,0
Ali_Naimi,rotation,6.00000000,1,0.99439013,0
Ali_Naimi,rotation,10.00000000,1,0.98760128,0
Ali_Naimi,rotation,15.00000000,1,0.97919178,0
Ali_Naimi,rotation,20.00000000,1,0.97031397,0
Ali_Naimi,blur,0.00000000,1,0.99287379,0
Ali_Naimi,blur,1.00000000,1,0.99208260,0
Ali_Naimi,blur,2.00000000,1,0.94830239,0
Ali_Naimi,blur,3.00000000,1,0.84753323,0
Ali_Naimi,blur,4.00000000,1,0.76422065,0
Ali_Naimi,blur,5.00000000,1,0.64917183,0
Ali_Naimi,occlusion,0.00000000,1,0.99935168,0
Ali_Naimi,occlusion,0.10000000,0,nan,1
Ali_Naimi,occlusion,0.15000000,0,nan,1
Ali_Naimi,occlusion,0.20000000,0,nan,1
Ali_Naimi,occlusion,0.25000000,0,nan,1
Ali_Naimi,occlusion,0.30000000,0,nan,1
Allyson_Felix,gaussian,0.00000000,1,1.00000000,0
Allyson_Felix,gaussian,0.02000000,1,0.98282009,0
Allyson_Felix,gaussian,0.05000000,1,0.93965125,0
Allyson_Felix,gaussian,0.10000000,1,0.86496639,0
Allyson_Felix,gaussian,0.20000000,0,nan,1
Allyson_Felix,gaussian,0.30000000,0,nan,1
Allyson_Felix,brightness,1.00000000,1,1.00000000,0
Allyson_Felix,brightness,0.90000000,1,0.99931240,0
Allyson_Felix,brightness,0.80000000,1,0.99859017,0
Allyson_Felix,brightness,0.65000000,1,0.99560189,0
Allyson_Felix,brightness,0.50000000,1,0.99019587,0
Allyson_Felix,brightness,0.35000000,1,0.98054022,0
